x,y
0,0
0.1,-0.260951
0.2,0.264437
0.3,0.156874
0.4,-0.94972
0.5,1.80931
0.6,-2.26293
0.7,1.85753
0.8,-0.392095
0.9,-1.89938
1,4.31159
1.1,-5.83528
1.2,5.51038
1.3,-2.8601
1.4,-1.76133
1.5,7.07991
1.6,-11.1768
1.7,12.1029
1.8,-8.66091
1.9,1.07212
2,8.76938
2.1,-17.6519
2.2,22.0015
2.3,-19.1859
2.4,8.72573
2.5,7.07903
2.6,-23.4655
2.7,34.5252
2.8,-35.2031
2.9,23.3402
3,-0.994348
3.1,-25.585
3.2,47.5421
3.3,-56.2277
3.4,46.3884
3.5,-18.6134
3.6,-19.9764
3.7,57.3146
3.8,-80.0023
3.9,77.9234
4,-48.3273
4.1,-2.17206
4.2,58.6823
4.3,-102.221
4.4,115.904
4.5,-91.1779
4.6,31.874
4.7,45.6216
4.8,-116.61
4.9,155.748
5,-145.835
5.1,84.7425
5.2,12.1616
5.3,-115.433
5.4,190.252
5.5,-207.928
5.6,156.466
5.7,-46.4294
5.8,-90.4233
5.9,209.977
6,-269.736
6.1,243.589
6.2,-132.331
6.3,-34.0881
6.4,204.136
6.5,-320.374
6.6,338.559
6.7,-243.918
6.8,58.7582
6.9,161.957
7,-346.55
7.1,429.621
7.2,-374.789
7.3,189.409
7.4,74.4063
7.5,-333.908
7.6,501.343
7.7,-513.267
7.8,353.868
7.9,-63.896
8,-268.877
8.1,535.822
8.2,-642.576
8.3,541.877
8.4,-252.828
8.5,-140.861
8.6,514.552
8.7,-741.774
8.8,736.602
8.9,-485.24
9,55.4485
9.1,420.82
9.2,-787.496
9.3,915.145
9.4,-746.026
9.5,317.948
9.6,242.42
9.7,-756.424
9.8,1049.98
9.9,-1012.05
10,635.488
10.1,-25.6197
10.2,-628.297
10.3,1111.33
10.4,-1253.09
10.5,987.043
10.6,-378.623
10.7,-389.199
10.8,1070.29
10.9,-1433.83
11,1341.93
11.1,-800.547
11.2,-34.7469
11.3,902.57
11.4,-1516.99
11.5,1661.23
11.6,-1263.28
11.7,427.21
11.8,592.371
11.9,-1467.2
12,1900.55
12.1,-1727.23
12.2,974.792
12.3,136.113
12.4,-1255.52
12.5,2013.85
12.6,-2143.34
12.7,1571.56
12.8,-454.579
12.9,-864.059
13,1958.27
13.1,-2456.61
13.2,2167.55
13.3,-1151.02
13.4,-290.177
13.5,1699.52
13.6,-2610.87
13.7,2701.95
13.8,-1907.13
13.9,450.148
14,1217.23
14.1,-2554.61
14.2,3107.53
14.3,-2660.99
14.4,1320.42
14.5,509.79
14.6,-2247.28
14.7,3316.42
14.8,-3338.3
14.9,2263.57
15,-401.925
15.1,-1665.56
15.2,3267.08
15.3,-3857.77
15.4,3204.03
15.5,-1472.62
15.6,-808.863
15.7,2911.68
15.8,-4138.1
15.9,4052.13
16,-2632.8
16.1,296.568
16.2,2223.31
16.3,-4106.17
16.4,4710.54
16.5,-3791.51
16.6,1595.66
16.7,1202.26
16.8,-3705.62
16.9,5082.59
17,-4841.65
17.1,3005.04
17.2,-119.459
17.3,-2905.17
17.4,5081.81
17.5,-5667.71
